"","MPA","Habitat","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"1","Portofino","Coralligenous","RCP85_2100",0.970040650406504,0.642857142857143,0.781454545454545,"Extreme","Extreme","Extreme","Very High"
"2","Cap de creus","Infralittoral","RCP85_2100",0.866317376125847,0.738095238095238,0.76945,"Extreme","Extreme","Extreme","Very High"
"3","Portofino","Posidonia oceanica","RCP85_2100",0.970040650406504,0.642857142857143,0.7922,"Extreme","Extreme","Extreme","Very High"
"4","Portofino","Coralligenous","RCP26_2100",0.361786455102598,0.642857142857143,0.781454545454545,"Intermediate","Extreme","Extreme","High"
"5","Portofino","Posidonia oceanica","RCP26_2100",0.361786455102598,0.642857142857143,0.7922,"Intermediate","Extreme","Extreme","High"
"6","Portofino","Posidonia oceanica","RCP45_2100",0.63336813636702,0.642857142857143,0.7922,"Very High","Extreme","Extreme","High"
"7","Portofino","Coralligenous","RCP45_2100",0.63336813636702,0.642857142857143,0.781454545454545,"Very High","Extreme","Extreme","High"
"8","Cap de creus","Infralittoral","RCP45_2100",0.545879821932197,0.666666666666667,0.76945,"Very High","Extreme","Extreme","High"
"9","Tavolara","Posidonia oceanica","RCP26_2050",0.461864991836836,0.524047619047619,0.7535,"High","High","Extreme","Intermediate"
"10","Tavolara","Posidonia oceanica","RCP45_2050",0.432146845975072,0.531904761904762,0.7535,"High","High","Extreme","Intermediate"
"11","Tavolara","Posidonia oceanica","RCP85_2050",0.434577053817334,0.547619047619048,0.7535,"High","High","Extreme","Intermediate"
"12","Calanques","Posidonia oceanica","RCP85_2100",0.70647291764881,0.476190476190476,0.7524,"Extreme","Intermediate","Extreme","High"
"13","Calanques","Caves","RCP85_2100",0.70647291764881,0.476190476190476,0.833333333333333,"Extreme","Intermediate","Extreme","High"
"14","Calanques","Caves","RCP45_2100",0.41503981506753,0.476190476190476,0.833333333333333,"Intermediate","Intermediate","Extreme","Intermediate"
"15","Calanques","Posidonia oceanica","RCP45_2100",0.41503981506753,0.476190476190476,0.7524,"Intermediate","Intermediate","Extreme","Intermediate"
"16","Calanques","Caves","RCP26_2100",0.232993792852476,0.476190476190476,0.833333333333333,"Low","Intermediate","Extreme","Low"
"17","Calanques","Caves","RCP26_2050",0.308621277158855,0.435416666666667,0.833333333333333,"Low","Intermediate","Extreme","Low"
"18","Calanques","Posidonia oceanica","RCP26_2100",0.232993792852476,0.404761904761905,0.7524,"Low","Intermediate","Extreme","Low"
"19","Calanques","Posidonia oceanica","RCP26_2050",0.308621277158855,0.435416666666667,0.7524,"Low","Intermediate","Extreme","Low"
"20","Calanques","Posidonia oceanica","RCP45_2050",0.300068377870961,0.451666666666667,0.7524,"Low","Intermediate","Extreme","Low"
"21","Calanques","Caves","RCP45_2050",0.300068377870961,0.451666666666667,0.833333333333333,"Low","Intermediate","Extreme","Low"
"22","Calanques","Caves","RCP85_2050",0.291469539074841,0.451666666666667,0.833333333333333,"Low","Intermediate","Extreme","Low"
"23","Calanques","Posidonia oceanica","RCP85_2050",0.291469539074841,0.451666666666667,0.7524,"Low","Intermediate","Extreme","Low"
"24","Tavolara","Posidonia oceanica","RCP85_2100",0.974587499689849,0.555555555555556,0.7535,"Extreme","Very High","Extreme","High"
"25","Portofino","Coralligenous","RCP26_2050",0.458796495711651,0.6,0.781454545454545,"High","Very High","Extreme","High"
"26","Portofino","Posidonia oceanica","RCP26_2050",0.458796495711651,0.6,0.7922,"High","Very High","Extreme","High"
"27","Portofino","Coralligenous","RCP85_2050",0.434847145373793,0.63125,0.781454545454545,"High","Very High","Extreme","High"
"28","Portofino","Posidonia oceanica","RCP85_2050",0.434847145373793,0.63125,0.7922,"High","Very High","Extreme","High"
"29","Cap de creus","Infralittoral","RCP26_2050",0.379403039877098,0.602083333333333,0.76945,"Intermediate","Very High","Extreme","Intermediate"
"30","Portofino","Coralligenous","RCP45_2050",0.415490583827507,0.6125,0.781454545454545,"Intermediate","Very High","Extreme","Intermediate"
"31","Cap de creus","Infralittoral","RCP85_2050",0.324972508994368,0.627083333333333,0.76945,"Intermediate","Very High","Extreme","Intermediate"
"32","Tavolara","Posidonia oceanica","RCP26_2100",0.358770124639192,0.555555555555556,0.7535,"Intermediate","Very High","Extreme","Intermediate"
"33","Portofino","Posidonia oceanica","RCP45_2050",0.415490583827507,0.6125,0.7922,"Intermediate","Very High","Extreme","Intermediate"
"34","Cap de creus","Infralittoral","RCP45_2050",0.291554004044364,0.564583333333333,0.76945,"Low","Very High","Extreme","Intermediate"
"35","Cap de creus","Infralittoral","RCP26_2100",0.276650910354068,0.595238095238095,0.76945,"Low","Very High","Extreme","Intermediate"
"36","Tavolara","Posidonia oceanica","RCP45_2100",0.650834673183965,0.555555555555556,0.7535,"Very High","Very High","Extreme","High"
"37","Baix Emporda","Posidonia oceanica","RCP85_2100",0.866317376125847,0.777777777777778,0.5051,"Extreme","Extreme","High","Very High"
"38","Baix Emporda","Posidonia oceanica","RCP26_2100",0.276650910354068,0.777777777777778,0.5051,"Low","Extreme","High","High"
"39","Baix Emporda","Posidonia oceanica","RCP45_2100",0.545879821932197,0.777777777777778,0.5051,"Very High","Extreme","High","Very High"
"40","Baix Emporda","Posidonia oceanica","RCP26_2050",0.379403039877098,0.608333333333333,0.5051,"Intermediate","Very High","High","High"
"41","Baix Emporda","Posidonia oceanica","RCP85_2050",0.324972508994368,0.608333333333333,0.5051,"Intermediate","Very High","High","High"
"42","Baix Emporda","Posidonia oceanica","RCP45_2050",0.291554004044364,0.608333333333333,0.5051,"Low","Very High","High","High"
"43","Brijuni","Posidonia oceanica","RCP45_2050",0.388660873053288,0.548541666666667,0.3482,"Intermediate","High","Intermediate","High"
"44","Brijuni","Posidonia oceanica","RCP26_2050",0.397798662630573,0.548541666666667,0.3482,"Intermediate","High","Intermediate","High"
"45","Brijuni","Posidonia oceanica","RCP85_2100",0.933756502824438,0.619047619047619,0.3482,"Extreme","Very High","Intermediate","Extreme"
"46","Brijuni","Posidonia oceanica","RCP26_2100",0.327934363860424,0.619047619047619,0.3482,"Intermediate","Very High","Intermediate","High"
"47","Brijuni","Posidonia oceanica","RCP85_2050",0.417290578038029,0.555416666666667,0.3482,"Intermediate","Very High","Intermediate","High"
"48","Brijuni","Posidonia oceanica","RCP45_2100",0.579798129171526,0.619047619047619,0.3482,"Very High","Very High","Intermediate","Very High"
"49","Baix Emporda","Coralligenous","RCP85_2100",0.866317376125847,0.777777777777778,0.004,"Extreme","Extreme","Low","Extreme"
"50","Baix Emporda","Infralittoral","RCP85_2100",0.866317376125847,0.777777777777778,0.057,"Extreme","Extreme","Low","Extreme"
"51","Baix Emporda","Coralligenous","RCP26_2100",0.276650910354068,0.777777777777778,0.004,"Low","Extreme","Low","Very High"
"52","Baix Emporda","Coralligenous","RCP45_2100",0.545879821932197,0.777777777777778,0.004,"Very High","Extreme","Low","Extreme"
"53","Baix Emporda","Infralittoral","RCP26_2050",0.379403039877098,0.483333333333333,0.057,"Intermediate","High","Low","High"
"54","Brijuni","Coralligenous","RCP26_2100",0.327934363860424,0.547619047619048,0.247163636363636,"Intermediate","High","Low","High"
"55","Brijuni","Coralligenous","RCP45_2050",0.388660873053288,0.486041666666667,0.247163636363636,"Intermediate","High","Low","High"
"56","Baix Emporda","Infralittoral","RCP85_2050",0.324972508994368,0.483333333333333,0.057,"Intermediate","High","Low","High"
"57","Brijuni","Coralligenous","RCP85_2050",0.417290578038029,0.492916666666667,0.247163636363636,"Intermediate","High","Low","High"
"58","Brijuni","Coralligenous","RCP26_2050",0.397798662630573,0.486041666666667,0.247163636363636,"Intermediate","High","Low","High"
"59","Baix Emporda","Infralittoral","RCP26_2100",0.276650910354068,0.444444444444444,0.057,"Low","Intermediate","Low","High"
"60","Brijuni","Caves","RCP85_2100",0.933756502824438,0.366666666666667,0.290123456790124,"Extreme","Low","Low","Very High"
"61","Tavolara","Caves","RCP85_2100",0.974587499689849,0.277777777777778,0.25,"Extreme","Low","Low","Very High"
"62","Cap de creus","Other seagrass meadows","RCP85_2100",0.866317376125847,0.361111111111111,0.25,"Extreme","Low","Low","Very High"
"63","Tavolara","Other seagrass meadows","RCP85_2100",0.974587499689849,0.166666666666667,0.167033333333333,"Extreme","Low","Low","Very High"
"64","Calanques","Other seagrass meadows","RCP85_2100",0.70647291764881,0.261904761904762,1e-05,"Extreme","Low","Low","Very High"
"65","Tavolara","Other seagrass meadows","RCP26_2050",0.461864991836836,0.194722222222222,0.167033333333333,"High","Low","Low","High"
"66","Tavolara","Other seagrass meadows","RCP45_2050",0.432146845975072,0.203888888888889,0.167033333333333,"High","Low","Low","High"
"67","Tavolara","Caves","RCP26_2050",0.461864991836836,0.292083333333333,0.25,"High","Low","Low","High"
"68","Tavolara","Other seagrass meadows","RCP85_2050",0.434577053817334,0.222222222222222,0.167033333333333,"High","Low","Low","High"
"69","Tavolara","Caves","RCP45_2050",0.432146845975072,0.305833333333333,0.25,"High","Low","Low","High"
"70","Tavolara","Caves","RCP85_2050",0.434577053817334,0.333333333333333,0.25,"High","Low","Low","High"
"71","Calanques","Other seagrass meadows","RCP45_2100",0.41503981506753,0.261904761904762,1e-05,"Intermediate","Low","Low","High"
"72","Brijuni","Caves","RCP26_2050",0.397798662630573,0.314722222222222,0.290123456790124,"Intermediate","Low","Low","High"
