"","MPA","Scenario","Ecological Vulnerability","Social sensitivity","Social adaptive capacity","Q_Ecological Vulnerability","Q_Social sensitivity","Q_Social adaptive capacity","Index"
"1","Calanques","RCP45_2100",0.388607111036011,0.263018138888889,0.559592515030312,"Intermediate","Low","Extreme","Low"
"2","Calanques","RCP26_2050",0.346660873192653,0.263018138888889,0.559592515030312,"Low","Low","Extreme","Low"
"3","Calanques","RCP26_2100",0.320227192001404,0.263018138888889,0.559592515030312,"Low","Low","Extreme","Low"
"4","Calanques","RCP45_2050",0.342129014129192,0.263018138888889,0.559592515030312,"Low","Low","Extreme","Low"
"5","Calanques","RCP85_2050",0.346989418786138,0.263018138888889,0.559592515030312,"Low","Low","Extreme","Low"
"6","Calanques","RCP85_2100",0.524024972337241,0.263018138888889,0.559592515030312,"Very High","Low","Extreme","Intermediate"
"7","Baix emporda","RCP45_2100",0.554562272103375,0.364698375,0.428131547619047,"Extreme","Intermediate","Intermediate","Very High"
"8","Baix emporda","RCP85_2100",0.735478046318158,0.364698375,0.428131547619047,"Extreme","Intermediate","Intermediate","Very High"
"9","Baix emporda","RCP26_2100",0.437856836817748,0.364698375,0.428131547619047,"High","Intermediate","Intermediate","High"
"10","Baix emporda","RCP45_2050",0.434979728469708,0.364698375,0.428131547619047,"High","Intermediate","Intermediate","High"
"11","Baix emporda","RCP85_2050",0.455083755143303,0.364698375,0.428131547619047,"High","Intermediate","Intermediate","High"
"12","Baix emporda","RCP26_2050",0.472599692749271,0.364698375,0.428131547619047,"Very High","Intermediate","Intermediate","High"
"13","Cap de Creus","RCP85_2100",0.672781049965917,0.315612331669738,0.417015302579365,"Extreme","Low","Intermediate","High"
"14","Cap de Creus","RCP26_2050",0.424353015431517,0.315612331669738,0.417015302579365,"High","Low","Intermediate","High"
"15","Cap de Creus","RCP26_2100",0.386528732094919,0.315612331669738,0.417015302579365,"Intermediate","Low","Intermediate","Intermediate"
"16","Cap de Creus","RCP45_2050",0.39277158324259,0.315612331669738,0.417015302579365,"Intermediate","Low","Intermediate","Intermediate"
"17","Cap de Creus","RCP85_2050",0.40950113610083,0.315612331669738,0.417015302579365,"Intermediate","Low","Intermediate","Intermediate"
"18","Cap de Creus","RCP45_2100",0.497639645002457,0.315612331669738,0.417015302579365,"Very High","Low","Intermediate","High"
"19","Brijuni","RCP85_2100",0.624087679050793,0.504736222222222,0.381408333333333,"Extreme","Extreme","Low","Extreme"
"20","Brijuni","RCP45_2100",0.438442603229638,0.504736222222222,0.381408333333333,"High","Extreme","Low","Very High"
"21","Brijuni","RCP85_2050",0.356602136772048,0.504736222222222,0.381408333333333,"Intermediate","Extreme","Low","Very High"
"22","Brijuni","RCP26_2050",0.347052972763979,0.504736222222222,0.381408333333333,"Low","Extreme","Low","Very High"
"23","Brijuni","RCP26_2100",0.315465013289129,0.504736222222222,0.381408333333333,"Low","Extreme","Low","Very High"
"24","Brijuni","RCP45_2050",0.33789732678229,0.504736222222222,0.381408333333333,"Low","Extreme","Low","Very High"
"25","Portofino","RCP85_2100",0.643264840136021,0.461773491666667,0.497110168650794,"Extreme","Very High","Very High","Very High"
"26","Tavolara","RCP85_2100",0.643264840136021,0.461773491666667,0.497110168650794,"Extreme","Very High","Very High","Very High"
"27","Portofino","RCP26_2050",0.383308602920322,0.461773491666667,0.497110168650794,"Intermediate","Very High","Very High","High"
"28","Portofino","RCP45_2050",0.370736122348094,0.461773491666667,0.497110168650794,"Intermediate","Very High","Very High","High"
"29","Portofino","RCP85_2050",0.384805255948661,0.461773491666667,0.497110168650794,"Intermediate","Very High","Very High","High"
"30","Tavolara","RCP26_2050",0.383308602920322,0.461773491666667,0.497110168650794,"Intermediate","Very High","Very High","High"
"31","Tavolara","RCP45_2050",0.370736122348094,0.461773491666667,0.497110168650794,"Intermediate","Very High","Very High","High"
"32","Tavolara","RCP85_2050",0.384805255948661,0.461773491666667,0.497110168650794,"Intermediate","Very High","Very High","High"
"33","Portofino","RCP26_2100",0.348965385436358,0.461773491666667,0.497110168650794,"Low","Very High","Very High","Intermediate"
"34","Tavolara","RCP26_2100",0.348965385436358,0.461773491666667,0.497110168650794,"Low","Very High","Very High","Intermediate"
"35","Tavolara","RCP45_2100",0.468845982007394,0.461773491666667,0.497110168650794,"Very High","Very High","Very High","High"
"36","Portofino","RCP45_2100",0.468845982007394,0.461773491666667,0.497110168650794,"Very High","Very High","Very High","High"
