"","MPA","Species","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"1","Cap de Creus","Paracentrotus lividus","RCP85_2100",0.866317376125847,0.4375,0.8,"Extreme","High","Extreme","High"
"2","Tavolara","Sparus aurata","RCP85_2100",0.974587499689849,0.428571428571429,0.8,"Extreme","High","Extreme","High"
"3","Tavolara","Sciaena umbra","RCP85_2100",0.974587499689849,0.479166666666667,0.8,"Extreme","High","Extreme","High"
"4","Tavolara","Epinephelus marginatus","RCP85_2100",0.974587499689849,0.4375,0.8,"Extreme","High","Extreme","High"
"5","Brijuni","Tursiops truncatus","RCP85_2100",0.933756502824438,0.416666666666667,0.875,"Extreme","High","Extreme","High"
"6","Calanques","Sciaena umbra","RCP85_2100",0.70647291764881,0.4375,0.75,"Extreme","High","Extreme","High"
"7","Portofino","Sphyraena sphyraena","RCP85_2100",0.970040650406504,0.4375,0.9,"Extreme","High","Extreme","High"
"8","Calanques","Sparus aurata","RCP85_2100",0.70647291764881,0.416666666666667,0.75,"Extreme","High","Extreme","High"
"9","Portofino","Sphyraena sphyraena","RCP26_2050",0.458796495711651,0.4375,0.9,"High","High","Extreme","Intermediate"
"10","Tavolara","Sparus aurata","RCP26_2050",0.461864991836836,0.428571428571429,0.8,"High","High","Extreme","Intermediate"
"11","Portofino","Epinephelus marginatus","RCP26_2050",0.458796495711651,0.5,0.8,"High","High","Extreme","Intermediate"
"12","Tavolara","Sciaena umbra","RCP26_2050",0.461864991836836,0.479166666666667,0.8,"High","High","Extreme","Intermediate"
"13","Tavolara","Epinephelus marginatus","RCP26_2050",0.461864991836836,0.4375,0.8,"High","High","Extreme","Intermediate"
"14","Portofino","Epinephelus marginatus","RCP85_2050",0.434847145373793,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"15","Tavolara","Epinephelus marginatus","RCP45_2050",0.432146845975072,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"16","Tavolara","Epinephelus marginatus","RCP85_2050",0.434577053817334,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"17","Tavolara","Sciaena umbra","RCP85_2050",0.434577053817334,0.479166666666667,0.8,"Intermediate","High","Extreme","Intermediate"
"18","Calanques","Sparus aurata","RCP45_2100",0.41503981506753,0.416666666666667,0.75,"Intermediate","High","Extreme","Intermediate"
"19","Cap de Creus","Paracentrotus lividus","RCP85_2050",0.324972508994368,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
"20","Portofino","Sphyraena sphyraena","RCP26_2100",0.361786455102598,0.4375,0.9,"Intermediate","High","Extreme","Intermediate"
"21","Portofino","Sphyraena sphyraena","RCP85_2050",0.434847145373793,0.4375,0.9,"Intermediate","High","Extreme","Intermediate"
"22","Portofino","Epinephelus marginatus","RCP26_2100",0.361786455102598,0.4375,0.8,"Intermediate","High","Extreme","Intermediate"
