"","MPA","Users","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"1","Baix Emporda","Tourist sector","RCP85_2100",0.866317376125847,0.592338308457712,0.682654761904762,"Extreme","Extreme","Extreme","Very High"
"2","Tavolara","Tourist sector","RCP85_2100",0.974587499689849,0.623134328358209,0.668745238095238,"Extreme","Extreme","Extreme","Very High"
"3","Tavolara","Tourist sector","RCP26_2050",0.461864991836836,0.623134328358209,0.668745238095238,"High","Extreme","Extreme","High"
"4","Tavolara","Tourist sector","RCP85_2050",0.434577053817334,0.623134328358209,0.668745238095238,"High","Extreme","Extreme","High"
"5","Tavolara","Tourist sector","RCP45_2050",0.432146845975072,0.623134328358209,0.668745238095238,"Intermediate","Extreme","Extreme","High"
"6","Baix Emporda","Tourist sector","RCP26_2050",0.379403039877098,0.592338308457712,0.682654761904762,"Intermediate","Extreme","Extreme","High"
"7","Tavolara","Tourist sector","RCP26_2100",0.358770124639192,0.623134328358209,0.668745238095238,"Intermediate","Extreme","Extreme","High"
"8","Baix Emporda","Tourist sector","RCP85_2050",0.324972508994368,0.592338308457712,0.682654761904762,"Intermediate","Extreme","Extreme","High"
"9","Baix Emporda","Tourist sector","RCP26_2100",0.276650910354068,0.592338308457712,0.682654761904762,"Low","Extreme","Extreme","Intermediate"
"10","Baix Emporda","Tourist sector","RCP45_2050",0.291554004044364,0.592338308457712,0.682654761904762,"Low","Extreme","Extreme","Intermediate"
"11","Baix Emporda","Tourist sector","RCP45_2100",0.545879821932197,0.592338308457712,0.682654761904762,"Very High","Extreme","Extreme","High"
"12","Tavolara","Tourist sector","RCP45_2100",0.650834673183965,0.623134328358209,0.668745238095238,"Very High","Extreme","Extreme","High"
"13","Calanques","Professional fishers","RCP85_2100",0.70647291764881,0.3769555,0.570719191004452,"Extreme","High","Extreme","High"
"14","Calanques","Professional fishers","RCP45_2100",0.41503981506753,0.3769555,0.570719191004452,"Intermediate","High","Extreme","Intermediate"
"15","Calanques","Professional fishers","RCP26_2050",0.308621277158855,0.3769555,0.570719191004452,"Low","High","Extreme","Intermediate"
"16","Calanques","Professional fishers","RCP26_2100",0.232993792852476,0.3769555,0.570719191004452,"Low","High","Extreme","Intermediate"
"17","Calanques","Professional fishers","RCP45_2050",0.300068377870961,0.3769555,0.570719191004452,"Low","High","Extreme","Intermediate"
"18","Calanques","Professional fishers","RCP85_2050",0.291469539074841,0.3769555,0.570719191004452,"Low","High","Extreme","Intermediate"
"19","Cap de Creus","Divers","RCP85_2100",0.866317376125847,0.170697521746266,0.654403449250778,"Extreme","Low","Extreme","Intermediate"
"20","Cap de Creus","Divers","RCP26_2050",0.379403039877098,0.170697521746266,0.654403449250778,"Intermediate","Low","Extreme","Low"
"21","Cap de Creus","Divers","RCP85_2050",0.324972508994368,0.170697521746266,0.654403449250778,"Intermediate","Low","Extreme","Low"
"22","Cap de Creus","Divers","RCP45_2050",0.291554004044364,0.170697521746266,0.654403449250778,"Low","Low","Extreme","Low"
"23","Cap de Creus","Divers","RCP26_2100",0.276650910354068,0.170697521746266,0.654403449250778,"Low","Low","Extreme","Low"
"24","Cap de Creus","Divers","RCP45_2100",0.545879821932197,0.170697521746266,0.654403449250778,"Very High","Low","Extreme","Intermediate"
"25","Calanques","Recreational fishers","RCP85_2100",0.70647291764881,0.5,0.555652403592182,"Extreme","Very High","Extreme","High"
"26","Calanques","Recreational fishers","RCP45_2100",0.41503981506753,0.5,0.555652403592182,"Intermediate","Very High","Extreme","Intermediate"
"27","Calanques","Recreational fishers","RCP45_2050",0.300068377870961,0.5,0.555652403592182,"Low","Very High","Extreme","Intermediate"
"28","Calanques","Recreational fishers","RCP85_2050",0.291469539074841,0.5,0.555652403592182,"Low","Very High","Extreme","Intermediate"
"29","Calanques","Recreational fishers","RCP26_2100",0.232993792852476,0.5,0.555652403592182,"Low","Very High","Extreme","Intermediate"
"30","Calanques","Recreational fishers","RCP26_2050",0.308621277158855,0.5,0.555652403592182,"Low","Very High","Extreme","Intermediate"
"31","Brijuni","Tourist sector","RCP85_2100",0.933756502824438,0.332774129353234,0.446280952380952,"Extreme","High","High","Very High"
"32","Tavolara","Recreational fishers","RCP85_2100",0.974587499689849,0.416666666666667,0.478093124823894,"Extreme","High","High","Very High"
"33","Tavolara","Recreational fishers","RCP26_2050",0.461864991836836,0.416666666666667,0.478093124823894,"High","High","High","High"
"34","Tavolara","Recreational fishers","RCP85_2050",0.434577053817334,0.416666666666667,0.478093124823894,"High","High","High","High"
"35","Brijuni","Tourist sector","RCP26_2100",0.327934363860424,0.332774129353234,0.446280952380952,"Intermediate","High","High","High"
"36","Brijuni","Tourist sector","RCP26_2050",0.397798662630573,0.332774129353234,0.446280952380952,"Intermediate","High","High","High"
"37","Tavolara","Recreational fishers","RCP45_2050",0.432146845975072,0.416666666666667,0.478093124823894,"Intermediate","High","High","High"
"38","Tavolara","Recreational fishers","RCP26_2100",0.358770124639192,0.416666666666667,0.478093124823894,"Intermediate","High","High","High"
"39","Brijuni","Tourist sector","RCP85_2050",0.417290578038029,0.332774129353234,0.446280952380952,"Intermediate","High","High","High"
"40","Brijuni","Tourist sector","RCP45_2050",0.388660873053288,0.332774129353234,0.446280952380952,"Intermediate","High","High","High"
"41","Tavolara","Recreational fishers","RCP45_2100",0.650834673183965,0.416666666666667,0.478093124823894,"Very High","High","High","High"
"42","Brijuni","Tourist sector","RCP45_2100",0.579798129171526,0.332774129353234,0.446280952380952,"Very High","High","High","High"
"43","Baix Emporda","Divers","RCP85_2100",0.866317376125847,0.250938805970149,0.482714285714286,"Extreme","Intermediate","High","High"
"44","Calanques","Tourist sector","RCP85_2100",0.70647291764881,0.254641791044776,0.444444444444444,"Extreme","Intermediate","High","High"
"45","Baix Emporda","Divers","RCP26_2050",0.379403039877098,0.250938805970149,0.482714285714286,"Intermediate","Intermediate","High","Intermediate"
"46","Calanques","Tourist sector","RCP45_2100",0.41503981506753,0.254641791044776,0.444444444444444,"Intermediate","Intermediate","High","Intermediate"
"47","Baix Emporda","Divers","RCP85_2050",0.324972508994368,0.250938805970149,0.482714285714286,"Intermediate","Intermediate","High","Intermediate"
"48","Baix Emporda","Divers","RCP45_2050",0.291554004044364,0.250938805970149,0.482714285714286,"Low","Intermediate","High","Intermediate"
"49","Calanques","Tourist sector","RCP85_2050",0.291469539074841,0.254641791044776,0.444444444444444,"Low","Intermediate","High","Intermediate"
"50","Calanques","Tourist sector","RCP26_2100",0.232993792852476,0.254641791044776,0.444444444444444,"Low","Intermediate","High","Intermediate"
"51","Calanques","Tourist sector","RCP45_2050",0.300068377870961,0.254641791044776,0.444444444444444,"Low","Intermediate","High","Intermediate"
"52","Baix Emporda","Divers","RCP26_2100",0.276650910354068,0.250938805970149,0.482714285714286,"Low","Intermediate","High","Intermediate"
"53","Calanques","Tourist sector","RCP26_2050",0.308621277158855,0.254641791044776,0.444444444444444,"Low","Intermediate","High","Intermediate"
"54","Baix Emporda","Divers","RCP45_2100",0.545879821932197,0.250938805970149,0.482714285714286,"Very High","Intermediate","High","High"
"55","Baix Emporda","Recreational fishers","RCP85_2100",0.866317376125847,0.0902089552238806,0.464378698224852,"Extreme","Low","High","High"
"56","Calanques","Nautical activities","RCP85_2100",0.70647291764881,0.000765,0.466666666666667,"Extreme","Low","High","High"
"57","Calanques","Nautical activities","RCP45_2100",0.41503981506753,0.000765,0.466666666666667,"Intermediate","Low","High","Intermediate"
"58","Baix Emporda","Recreational fishers","RCP85_2050",0.324972508994368,0.0902089552238806,0.464378698224852,"Intermediate","Low","High","Intermediate"
"59","Baix Emporda","Recreational fishers","RCP26_2050",0.379403039877098,0.0902089552238806,0.464378698224852,"Intermediate","Low","High","Intermediate"
"60","Calanques","Nautical activities","RCP85_2050",0.291469539074841,0.000765,0.466666666666667,"Low","Low","High","Intermediate"
"61","Baix Emporda","Recreational fishers","RCP26_2100",0.276650910354068,0.0902089552238806,0.464378698224852,"Low","Low","High","Intermediate"
"62","Calanques","Nautical activities","RCP26_2100",0.232993792852476,0.000765,0.466666666666667,"Low","Low","High","Intermediate"
